parameter,param_value,policy,mean_time_hrs,stdev_time_hrs,mean_retired,stdev_retired,depleted_frac
working_pool_size,4600,Thresh ≥3/7d,2385.13,46.82,3.8,2.3,0.00
working_pool_size,4800,NeverRemove,2396.20,36.52,0.0,0.0,0.00
working_pool_size,4800,Thresh ≥2/7d,2341.51,50.06,104.9,8.2,0.00
working_pool_size,4800,Thresh ≥3/7d,2420.14,67.86,5.2,2.4,0.00
systematic_failure_fraction,0.01,NeverRemove,1595.42,23.96,0.0,0.0,0.00
systematic_failure_fraction,0.01,Thresh ≥2/7d,1575.34,32.65,29.9,6.3,0.00
systematic_failure_fraction,0.01,Thresh ≥3/7d,1585.02,25.70,0.4,0.5,0.00
systematic_failure_fraction,0.03,NeverRemove,1837.29,59.89,0.0,0.0,0.00
systematic_failure_fraction,0.03,Thresh ≥2/7d,1782.29,32.59,58.2,4.4,0.00
systematic_failure_fraction,0.03,Thresh ≥3/7d,1795.92,31.52,2.1,1.5,0.00
systematic_failure_fraction,0.05,NeverRemove,2064.96,42.15,0.0,0.0,0.00
systematic_failure_fraction,0.05,Thresh ≥2/7d,1999.26,35.65,75.1,9.1,0.00
systematic_failure_fraction,0.05,Thresh ≥3/7d,2061.11,33.85,3.2,1.7,0.00
systematic_failure_fraction,0.08,NeverRemove,2394.64,38.69,0.0,0.0,0.00
systematic_failure_fraction,0.08,Thresh ≥2/7d,2305.79,68.15,105.6,12.5,0.00
systematic_failure_fraction,0.08,Thresh ≥3/7d,2385.13,46.82,3.8,2.3,0.00
systematic_failure_fraction,0.12,NeverRemove,2860.64,32.15,0.0,0.0,0.00
systematic_failure_fraction,0.12,Thresh ≥2/7d,2744.63,45.08,128.6,9.6,0.00
systematic_failure_fraction,0.12,Thresh ≥3/7d,2832.91,47.41,3.5,2.3,0.00
systematic_failure_fraction,0.2,NeverRemove,3800.43,49.74,0.0,0.0,0.00
systematic_failure_fraction,0.2,Thresh ≥2/7d,3625.51,57.36,171.9,18.8,0.00
systematic_failure_fraction,0.2,Thresh ≥3/7d,3800.39,46.76,5.1,1.1,0.00
recovery_time,5,NeverRemove,499.98,3.12,0.0,0.0,0.00
recovery_time,5,Thresh ≥2/7d,487.48,3.03,227.5,12.8,0.00
recovery_time,5,Thresh ≥3/7d,497.70,3.57,46.1,7.0,0.00
recovery_time,10,NeverRemove,670.71,8.72,0.0,0.0,0.00
recovery_time,10,Thresh ≥2/7d,639.07,5.58,206.9,10.2,0.00
recovery_time,10,Thresh ≥3/7d,668.16,6.99,37.2,5.2,0.00
recovery_time,20,NeverRemove,1012.93,13.85,0.0,0.0,0.00
recovery_time,20,Thresh ≥2/7d,963.28,20.51,171.9,7.0,0.00
recovery_time,20,Thresh ≥3/7d,1011.02,14.80,20.1,3.3,0.00
recovery_time,40,NeverRemove,1701.91,35.73,0.0,0.0,0.00
recovery_time,40,Thresh ≥2/7d,1608.15,19.75,133.1,11.2,0.00
recovery_time,40,Thresh ≥3/7d,1697.61,28.06,6.5,2.1,0.00
recovery_time,60,NeverRemove,2394.64,38.69,0.0,0.0,0.00
recovery_time,60,Thresh ≥2/7d,2305.79,68.15,105.6,12.5,0.00
recovery_time,60,Thresh ≥3/7d,2385.13,46.82,3.8,2.3,0.00
recovery_time,90,NeverRemove,3442.19,72.04,0.0,0.0,0.00
recovery_time,90,Thresh ≥2/7d,3337.86,55.92,73.5,10.7,0.00
recovery_time,90,Thresh ≥3/7d,3454.03,79.38,1.9,1.2,0.00
auto_repair_fail_prob,0.0,NeverRemove,2229.07,67.06,0.0,0.0,0.00
auto_repair_fail_prob,0.0,Thresh ≥2/7d,2181.93,42.44,75.5,7.3,0.00
auto_repair_fail_prob,0.0,Thresh ≥3/7d,2199.32,43.34,1.5,0.9,0.00
auto_repair_fail_prob,0.2,NeverRemove,2280.96,22.63,0.0,0.0,0.00
auto_repair_fail_prob,0.2,Thresh ≥2/7d,2198.96,43.62,83.5,6.3,0.00
auto_repair_fail_prob,0.2,Thresh ≥3/7d,2248.46,36.28,3.0,2.0,0.00
auto_repair_fail_prob,0.4,NeverRemove,2370.75,58.57,0.0,0.0,0.00
auto_repair_fail_prob,0.4,Thresh ≥2/7d,2258.02,49.96,94.6,7.6,0.00
auto_repair_fail_prob,0.4,Thresh ≥3/7d,2361.24,68.85,2.8,1.6,0.00
auto_repair_fail_prob,0.6,NeverRemove,2394.64,38.69,0.0,0.0,0.00
auto_repair_fail_prob,0.6,Thresh ≥2/7d,2305.79,68.15,105.6,12.5,0.00
auto_repair_fail_prob,0.6,Thresh ≥3/7d,2385.13,46.82,3.8,2.3,0.00
auto_repair_fail_prob,0.8,NeverRemove,2439.38,44.87,0.0,0.0,0.00
auto_repair_fail_prob,0.8,Thresh ≥2/7d,2373.31,55.58,108.6,9.8,0.00
auto_repair_fail_prob,0.8,Thresh ≥3/7d,2481.92,57.13,4.1,1.0,0.00
